"id","nom","conservation"
"243087","Cannelloni au veau, frais","frigo"
"243092","Lasagne à la viande","frigo"
"243098","MAISON DE SUCRE DU PAYS","tablette"
"243102","RÔTI DE POITRINE DE DINDE ATTACHÉE","congelo"
"243104","JUS D'HERBE DE BLÉ PUR, CONGELÉ","congelo"
"243113","Escalopes de veau","congelo"
"243116","Rôti de palette de veau","congelo"
"243117","Farine de sarrasin","tablette"
"243118","Feuilleté Veau fumé et camembert","congelo"
"243126","Yogourt VANILLE","frigo"
"244011","Saucisses Beaupré, sans gluten","congelo"
"244014","Saucisses Merguez Sans Gluten","congelo"
"244028","Miel de fleurs de bleuets","tablette"
"244046","Terrine de foie gras","congelo"
"244050","Sauce spaghetti 100% CANARD ","frigo"
"244053","Tourtière de canard ","congelo"
"244055","Canard entier ","congelo"
"244059","Tarte aux fraises et à la rhubarbe (cuite)","frigo"
"244076","PETITS PAINS FARCIS AUX OEUFS","congelo"
"244081","Soupe poulet et nouilles","congelo"
"244085","Sauce all arrabiata","frigo"
"244099","LAPIN ENTIER","congelo"
"244106","POITRINE DE DINDE DÉSOSSÉE","congelo"
"244119","Steak de contre-filet de veau","congelo"
"244132","Canneberges séchées à l'orange","tablette"
"244136","Terrine de pintade aux canneberges","congelo"
"244137","Perdrix entière","congelo"
"245016","Filet-Mignon","congelo"
"245022","Cubes à mijoter","congelo"
"245032","Chandelle Hibou","tablette"
"245037","Épinard bio","frigo"
"245039","Sirop d'érable mixte","tablette"
"245042","Noyaux d'Argousier séchés","tablette"
"245053","Tisane de feuilles de Bleuet sauvage ","tablette"
"245056","Tisane de fleurs de calendula","tablette"
"245065","Graisse de canard ","frigo"
"245078","Galettes aux pommes et noix de coco","congelo"
"245082","Lasagne","congelo"
"245085","PÂTÉ AU SAUMON","congelo"
"245091","Chocolat noir 71,7 % pour cuisiner","tablette"
"245099","Ravioli au bison","congelo"
"245101","Ravioli courges/cardamome","congelo"
"246002","Oeuf d'autruche pour manger.","frigo"
"246022","Faux-Filet","congelo"
"246034","Foie gras au torchon ","congelo"
"246039","Jus de Pimbina sans sucre  (sac glaçons)","congelo"
"246045","Sirop d'érable catégorie Foncé (anciennement Médium B)","tablette"
"246047","Tartinade de Cassis ","tablette"
"246050","Gelée à l'érable","frigo"
"246054","Tisane de feuilles de Pissenlit ","tablette"
"246062","Magret de canard","congelo"
"246065","Tarte aux bleuets (congelée)","congelo"
"246066","Tarte aux framboises (congelée)","congelo"
"246068","Tarte crémeuse au sirop d'érable (congelée)","congelo"
"246070","Saucisse de canard","congelo"
"246079","Effiloché de porc","congelo"
"246081","Fèves au lard de Mamy","congelo"
"246083","Macaroni chinois au porc","congelo"
"246088","Sauce à spaghetti","congelo"
"246091","Sauce forestière","frigo"
"246097","Cannelloni aux légumes grillés, CONGELÉ (sous-vide)","congelo"
"246109","VIANDE HACHÉE AUX POMMES","congelo"
"246116","FONDUE CHINOISE DE DINDE","congelo"
"246130","Lanières de veau","congelo"
"246139","Cailles jumbo","congelo"
"246141","Suprêmes de pintade","congelo"
"247015","Contre-Filet","congelo"
"247019","Cubes à brochette","congelo"
"247033","Sureau congelé","congelo"
"247038","Tisane de feuilles de Verges d'Or ","tablette"
"247039","Tisane de feuilles d'Ortie ","tablette"
"247040","Cassoulet au Canard","frigo"
"247049","Tarte aux fraises (congelée)","congelo"
"247052","Tarte aux framboises et aux pommes (congelée)","congelo"
"247053","Tarte aux quatre fuits (congelée)","congelo"
"247063","Muffins aux framboises et crème sûre","congelo"
"247065","Muffins orange et dattes ","congelo"
"247076","Barre de chocolat bio alto el sol (Pérou)","tablette"
"247080","Cannelloni aux légumes grillés, frais","frigo"
"247082","Ensemble découverte ( 2 portions)","frigo"
"247087","Lasagne aux épinards et ricotta","frigo"
"247096","TERRINE POMMES ET CANNEBERGES","congelo"
"247097","DINDE ENTIÈRE ","congelo"
"247098","TOURNEDOS DE DINDE BARDÉS DE BACON","congelo"
"247100","Bleuets congelés","congelo"
"247109","Filet mignon de veau","congelo"
"247115","Lait 2 litres (contenant plastique)","frigo"
"248026","Escalope de foie gras, sous vide ","congelo"
"248033","Terrine de foie gras, canneberges ","congelo"
"248047","Tisane de feuilles de Framboisier sauvage ","tablette"
"248052","Gésiers confits ","frigo"
"248056","Cuisse confite ","frigo"
"248057","Tourte au confit de canard et aux pommes, ","frigo"
"248060","Magret Fumé ","frigo"
"248063","Tarte aux bleuets (cuite)","frigo"
"248066","Tarte aux quatre fuits (cuite)","frigo"
"248068","Tarte crémeuse au sirop d'érable (cuite)","frigo"
"248076","Croûte à tarte, abaissée dans une assiette","congelo"
"248080","Petits pains farcies au jambon","congelo"
"248084","Sauce à la viande","frigo"
"248088","Barre de chocolat noir Valrhona Tainori 64% ","tablette"
"248090","Ensemble de roses","tablette"
"248095","Pâtes fraîches au pesto et aux tomates","frigo"
"248096","Ravioli aux épinards et chèvre ","congelo"
"248101","Ravioli aux légumes grillés","congelo"
"248102","Ravioli aux champignons fumés et chèvre","congelo"
"248116","VIANDE HACHÉE À L'ÉRABLE","congelo"
"249023","Rôti de pointe de surlonge de wapiti","congelo"
"249042","Sirop d'érable catégorie Ambré (anciennement Clair no.1)","tablette"
"249048","Beurre d'érable","congelo"
"249050","Tire d'érable","congelo"
"249075","Beignets au sirop d'érable","tablette"
"249079","Tarte aux framboises et aux pommes (cuite)","frigo"
"249082","Saucisse au foie gras et viande de canard","congelo"
"249085","Muffins aux bananes","congelo"
"249089","CHILI VÉGÉ AUX HARICOTS ET MAÏS","congelo"
"249096","Pâté à la viande","congelo"
"249099","Pâte à tarte","congelo"
"249103","Sauce provençale","frigo"
"249106","Cannelloni aux épinards, CONGELÉ (sous-vide) ","congelo"
"249114","SAUCISSES AUX POMMES","congelo"
"249115","SAUCISSES À L'ÉRABLE","congelo"
"249123","Têtes de violon","frigo"
"249126","Baume à lèvres/ Menthe et Citron","tablette"
"249127","Baume à lèvres/ Ylang-ylang et Gingembre","tablette"
"249131","Tournedos de veau","congelo"
"249133","Feuilleté porc confit à l'érable","congelo"
"249134","Cubes de veau à brochette","congelo"
"249137","Osso Buco (jarret de veau)","congelo"
"249140","Fromage frais","frigo"
"253001","Miel de fleurs de Pissenlits","tablette"
"255006","HUILE DE TOURNESOL BIOLOGIQUE","tablette"
"255021","Baume à lèvres/ Rose et Orange","tablette"
"255028","Steak de Faux-filet de veau","congelo"
"255036","Yogourt nature","frigo"
"255038","Faisan entier","congelo"
"255044","Foie blond de pintade","congelo"
"257008","Bavette de veau","congelo"
"257014","Canneberges séchées","tablette"
"257022","Pintade entière","congelo"
"265002","Rillette de dinde sauvage aux pommes et aux épices","congelo"
"269003","Feta Pénélope huile de tournesol champy et fines herbes","frigo"
"269019","Farine de blé entier à pain","tablette"
"269028","Oeufs de caille","frigo"
"269040","Viande  Hachée","congelo"
"269047","Pâté de viande au sanglier","congelo"
"269051","Chandelle modèle Ange","tablette"
"269063","Savon au miel \"le  vert\"","tablette"
"269070","Saucisses à Déjeuner","congelo"
"269072","Biscotti aux pacanes","tablette"
"269075","ROTI DE PORC A L'AIL","frigo"
"269079","Brownies","frigo"
"269080","Barres aux noix de coco et citron","tablette"
"269085","Rillettes de porc","tablette"
"270001","Fromage frais poivre rose","frigo"
"270012","Cilantro (séché)","tablette"
"270014","Persil (séché)","tablette"
"270035","Viande à fondue","congelo"
"270040","Pepperette de sangliers","congelo"
"270042","Saucisson chorizo doux de sanglier","congelo"
"270050","Chandelle flottante","tablette"
"270054","Miel crémeux ","tablette"
"270071","Carrés aux dattes","tablette"
"271002","Cornebique","frigo"
"271035","Oeufs de caille marinés","frigo"
"271047","Filet mignon","congelo"
"271051","Bacon pancetta de sangliers","congelo"
"271064","Chandelle modèle Ruche en paille","tablette"
"271078","BOUDIN","frigo"
"271086","Saucisses tomate et bière noire (veau et porc)","congelo"
"271092","Rillettes de porc congelées","congelo"
"272005","Feuilletés au Végé-Pâté et au Confit d'oignons","frigo"
"272013","Cuisse de pintade confite","congelo"
"272039","Chandelle modèle Nativité","tablette"
"272040","Chandelles pour réchaud","tablette"
"272054","Moutarde au miel","frigo"
"272055","Gelée de miel","tablette"
"272065","PAIN JAMBON BACON","frigo"
"273004","Tamales","frigo"
"273009","Marjolaine (séchée)","tablette"
"273020","Saucisses ciboulette","congelo"
"273040","Saucisses fines herbes","congelo"
"273041","Saucisses tomate/basilic","congelo"
